All Quiet on the Western Front,10/13/2022 ,78.0,"Drama,War,History","Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.","Felix Kammerer,Paul Bäumer,Albrecht Schuch,Stanislaus ""Kat"" Katczinsky,Aaron Hilmer,Albert Kropp,Moritz Klaus,Franz Müller,Adrian Grünewald,Ludwig Behm,Edin Hasanović,Tjaden Stackfleet,Daniel Brühl,Matthias Erzberger,Thibault de Montalembert,General Ferdinand Foch,Devid Striesow,General Friedrichs", Im Westen nichts Neues, Released, German,20000000.0,326479707.4,AU
Violent Night,12/01/2022 ,76.0,"Action,Comedy,Crime,Thriller","When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.","David Harbour,Santa,John Leguizamo,Scrooge,Beverly D'Angelo,Gertrude,Alex Hassell,Jason,Alexis Louder,Linda,Edi Patterson,Alva,Cam Gigandet,Morgan Steel,Leah Brady,Trudy,André Eriksen,Gingerbread",Violent Night, Released, English,20000000.0,76599607.0,AU
Scream,01/13/2022 ,67.0,"Horror,Mystery,Thriller","Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","Melissa Barrera,Sam Carpenter,Mason Gooding,Chad Meeks-Martin,Jenna Ortega,Tara Carpenter,Jack Quaid,Richie Kirsch,Mikey Madison,Amber Freeman,Courteney Cox,Gale Weathers,David Arquette,Dewey Riley,Neve Campbell,Sidney Prescott,Dylan Minnette,Wes Hicks",Scream, Released, English,24000000.0,138874789.0,AU
Devotion,01/20/2023 ,74.0,"War,History,Drama",The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,"Jonathan Majors,Jesse Brown,Glen Powell,Thomas J. Hudner Jr.,Christina Jackson,Daisy Brown,Thomas Sadoski,Dick Cevoli,Daren Kagasoff,Bill Koenig,Joe Jonas,Marty Goode,Spencer Neville,Bo Lavery,Nick Hargrove,Carol Mohring,Boone Platt,Buddy Gill",Devotion, Released, English,90000000.0,20000000.0,AU
The Woman King,10/27/2022 ,78.0,"Action,Drama,History","The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.","Viola Davis,Nanisca,Thuso Mbedu,Nawi,Lashana Lynch,Izogie,Sheila Atim,Amenza,John Boyega,King Ghezo,Jordan Bolger,Malik,Hero Fiennes Tiffin,Santo Ferreira,Jimmy Odukoya,Oba Ade,Masali Baduza,Fumbe",The Woman King, Released, English,50000000.0,94374749.0,AU
Evil Dead Rise,04/20/2023 ,74.0,"Horror,Thriller",Two sisters find an ancient book that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,"Lily Sullivan,Beth,Alyssa Sutherland,Ellie,Morgan Davies,Danny,Nell Fisher,Kassie,Gabrielle Echols,Bridget,Mia Challis,Jessica,Jayden Daniels,Gabriel,Tai Wano,Scott,Billy Reynolds-McCarthy,Jake",Evil Dead Rise, Released, English,132500000.0,469254456.2,AU
Perfect Addiction,02/16/2023 ,67.0,"Drama,Romance,Action",A female boxing trainer discovers that her champion cage-fighter boyfriend has been cheating on her with her sister and decides to seek revenge by training up his arch-rival to challenge him.,"Kiana Madeira,Sienna Lane,Ross Butler,Kayden Williams,Matthew Noszka,Jax Deneris,Bree Winslow,Beth,Nicholas Duvernay,Brent Jacobs,Manu Bennett,Julian,Ryan Bown,Evan Kessler,Poppy Gilbert,Cara,Cecilia Diesch,Athena",Perfect Addiction, Released, English,79800000.0,387664307.6,DE
Project Gemini,01/06/2022 ,58.0,"Science Fiction,Horror","After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.","Egor Koreshkov,Dr. Steven Ross,Alena Konstantinova,Amy,Konstantin Samoukov,Ryan Connell,Pyotr Romanov,Peter Lehmann,Nikita Dyuvbanov,Frank Miller,Liza Martines,Leona Redwood,Viktor Potapeshkin,Richard Wilson,Dmitry Frid,David Kurtz,Katerina Shpitsa,Jane Rutkovsky", Звёздный разум, Released, English,134000000.0,308786595.8,RU
Doctor Strange in the Multiverse of Madness,05/05/2022 ,74.0,"Fantasy,Action,Adventure","Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.","Benedict Cumberbatch,Dr. Stephen Strange / Sinister Strange / Defender Strange,Elizabeth Olsen,Wanda Maximoff / The Scarlet Witch,Chiwetel Ejiofor,Baron Karl Mordo,Benedict Wong,Wong,Xochitl Gomez,America Chavez,Jett Klyne,Tommy Maximoff,Julian Hilliard,Billy Maximoff,Sheila Atim,Sara,Adam Hugill,Rintrah (voice)",Doctor Strange in the Multiverse of Madness, Released, English,200000000.0,952224986.0,AU
There Are No Saints,07/01/2022 ,53.0,"Action,Mystery,Thriller","A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico, he devises an elaborate and dangerous plan to rescue his son and avenge the murder.","José María Yázpik,Neto Niente,Shannyn Sossamon,Inez,Tommy Flanagan,Jet Rink,Ron Perlman,Sans,Karla Souza,Collie,Tim Roth,Carl Abrahams,Paz Vega,Nadia,Neal McDonough,Vincent,Keidrich Sellati,Julio Niente",There Are No Saints, Released, English,136400000.0,194565354.0,AU
Avengers: Infinity War,04/25/2018 ,83.0,"Adventure,Action,Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Robert Downey Jr.,Tony Stark / Iron Man,Chris Hemsworth,Thor Odinson,Mark Ruffalo,Bruce Banner / Hulk,Chris Evans,Steve Rogers / Captain America,Scarlett Johansson,Natasha Romanoff / Black Widow,Benedict Cumberbatch,Stephen Strange / Doctor Strange,Tom Holland,Peter Parker / Spider-Man,Chadwick Boseman,T'Challa / Black Panther,Don Cheadle,James 'Rhodey' Rhodes / War Machine",Avengers: Infinity War, Released, English,300000000.0,2048359754.0,AU
Smile,09/23/2022 ,68.0,"Horror,Mystery,Thriller","After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Sosie Bacon,Dr. Rose Cotter,Kyle Gallner,Joel,Caitlin Stasey,Laura Weaver,Jessie T. Usher,Trevor,Kal Penn,Dr. Morgan Desai,Rob Morgan,Robert Talley,Robin Weigert,Dr. Madeline Northcott,Judy Reyes,Victoria Munoz,Gillian Zinser,Holly",Smile, Released, English,17000000.0,216049734.0,AU
¡Que Viva México!,03/23/2023 ,47.0,Comedy,"After his grandfather's death, a man travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.","Damián Alcázar,Rosendo / Regino / Ambrosio,Alfonso Herrera,Pancho Reyes,Joaquín Cosío,Rosendito / Reginito / Abuelo,Ana de la Reguera,Mari,Ana Martín,Dolores,Angelina Peláez,Abuela,Mayra Hermosillo,Gloria,Fermín Martínez,El Lupe,Leticia Huijara,Secretaria Regino",¡Que Viva México!, Released," Spanish, Castilian",100100000.0,947468745.8,MX
Detective Knight: Independence,01/20/2023 ,56.0,"Action,Crime,Thriller","Detective James Knight 's last-minute assignment to the Independence Day shift turns into a race to stop an unbalanced ambulance EMT from imperiling the city's festivities. The misguided vigilante, playing cop with a stolen gun and uniform, has a bank vault full of reasons to put on his own fireworks show... one that will strike dangerously close to Knight's home.","Bruce Willis,Detective James Knight,Jack Kilmer,Dezi,Lochlyn Munro,Fitzgerald,Jimmy Jean-Louis,Detective Godwin Sango,Willow Shields,Ally,Dina Meyer,Charlotte Burnham,Timothy V. Murphy,,Lorenzo Antonucci,George,Joe Munroe,Robin",Detective Knight: Independence, Released, English,134200000.0,772865923.6,US
Strange World,11/24/2022 ,65.0,"Animation,Family,Adventure,Science Fiction","A journey deep into an uncharted and treacherous land, where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial, mission.","Jake Gyllenhaal,Searcher Clade (voice),Dennis Quaid,Jaeger Clade (voice),Jaboukie Young-White,Ethan Clade (voice),Gabrielle Union,Meridian Clade (voice),Lucy Liu,Callisto Mal (voice),Alan Tudyk,Narrator / Radio Host 1 / Duffle (voice),Jonathan Melo,Diazo (voice),Abraham Benrubi,Lonnie Redshirt (voice),Karan Soni,Caspian (voice)",Strange World, Released, English,135000000.0,69566884.0,AU
The Ten Commandments,12/12/1958 ,78.0,"Drama,History","Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.","Charlton Heston,Moses,Yul Brynner,Rameses,Anne Baxter,Nefretiri,Edward G. Robinson,Dathan,Yvonne De Carlo,Sephora,Debra Paget,Lilia,John Derek,Joshua,Cedric Hardwicke,Sethi,Nina Foch,Bithiah",The Ten Commandments, Released, English,13500000.0,85433929.0,AU
The Ten Commandments,12/12/1958 ,78.0,"Drama,History","Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.","Charlton Heston,Moses,Yul Brynner,Rameses,Anne Baxter,Nefretiri,Edward G. Robinson,Dathan,Yvonne De Carlo,Sephora,Debra Paget,Lilia,John Derek,Joshua,Cedric Hardwicke,Sethi,Nina Foch,Bithiah",The Ten Commandments, Released, English,10000000.0,1051907.0,AU
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,03/29/2019 ,80.0,"Action,Animation,Fantasy","Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again. A recap film of Kimetsu no Yaiba, covering episodes 1-5 with extra footage.","Natsuki Hanae,Tanjiro Kamado (voice),Akari Kito,Nezuko Kamado (voice),Takahiro Sakurai,Giyū Tomioka (voice),Hochu Otsuka,Sakonji Urokodaki (voice),Yuki Kaji,Sabito (voice),Ai Kakuma,Makomo (voice),Daisuke Namikawa,Hotaru Haganezuka (voice),Toshihiko Seki,Muzan Kibutsuji (voice),Takehito Koyasu,Hand demon (voice)", 鬼滅の刃 兄妹の絆, Released, Japanese,129000000.0,645532173.4,JP
Four's a Crowd,10/28/2022 ,63.0,Comedy,"Julián, a divorced man with financial problems, uses a cell phone application to share his car with strangers.","Blanca Suárez,Lorena,Alberto San Juan,Julián,Rubén Cortada,Sergio,Ernesto Alterio,Juan Carlos,Carlos Areces,Santiago,Isidro Montalvo,Revuelta,Jaime Ordóñez,Morales,Enrique Villén,Violent Guy,Pat Aguiló,Mercedes", El cuarto pasajero, Released," Spanish, Castilian",110000000.0,271669045.6,ES
Minions: The Rise of Gru,07/04/2022 ,75.0,"Animation,Comedy,Family","A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.","Pierre Coffin,Kevin / Stuart / Bob / Minions (voice),Steve Carell,Gru (voice),Russell Brand,Dr. Nefario (voice),Alan Arkin,Wild Knuckles (voice),Taraji P. Henson,Belle Bottom (voice),Jean-Claude Van Damme,Jean Clawed (voice),Lucy Lawless,Nunchuck (voice),Dolph Lundgren,Svengeance (voice),Danny Trejo,Stronghold (voice)",Minions: The Rise of Gru, Released, English,80000000.0,939200081.0,AU
Creed II,12/06/2018 ,70.0,Drama,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.","Michael B. Jordan,Adonis Johnson,Sylvester Stallone,Rocky Balboa,Tessa Thompson,Bianca,Wood Harris,Tony 'Little Duke' Evers,Russell Hornsby,Buddy Marcelle,Phylicia Rashād,Mary Anne Creed,Dolph Lundgren,Ivan Drago,Florian Munteanu,Viktor Drago,Andre Ward,Danny 'Stuntman' Wheeler",Creed II, Released, English,50000000.0,213591522.0,AU
Creed,11/26/2015 ,74.0,Drama,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Michael B. Jordan,Adonis Johnson,Sylvester Stallone,Rocky Balboa,Tessa Thompson,Bianca,Phylicia Rashād,Mary Anne Creed,Andre Ward,Danny 'Stuntman' Wheeler,Tony Bellew,'Pretty' Ricky Conlan,Ritchie Coster,Pete Sporino,Jacob 'Stitch' Duran,Stitch,Graham McTavish,Tommy Holiday",Creed, Released, English,37000000.0,173567581.0,AU
Beast,08/25/2022 ,68.0,"Thriller,Action,Horror,Adventure","A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.","Idris Elba,Dr. Nate Daniels,Leah Sava Jeffries,Norah Daniels,Iyana Halley,Meredith Daniels,Sharlto Copley,Martin Battles,Martin Munro,Kees,Liyabuya Gongo,Cut Offs,Daniel Hadebe,Abduya,Thapelo Sebogodi,Camo,Mduduzi Mavimbela,Poacher Mizozi",Beast, Released, English,36000000.0,59103794.0,AU
Fast X,05/19/2023 ,0.0,"Action,Crime,Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","Vin Diesel,Dominic Toretto,Michelle Rodriguez,Letty Ortiz,Tyrese Gibson,Roman Pearce,Ludacris,Tej Parker,Jason Momoa,Dante Reyes,Nathalie Emmanuel,Ramsey,Jordana Brewster,Mia Toretto,John Cena,Jakob Toretto,Jason Statham,Deckard Shaw",Fast X, Post Production, English,340000000.0,0.0,US
My Name Is Vendetta,11/30/2022 ,68.0,"Action,Crime,Thriller","After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.","Alessandro Gassmann,Santo,Ginevra Francesconi,Sofia,Remo Girone,Angelo Lo Bianco,Alessio Praticò,Michele Lo Bianco,Francesco Villano,Rudi Crisarà,Gabriele Falsetta,Ferrario,Marcello Mazzarella,Vituzzo,Mauro Lamanna,Marino Gallo,Sinja Dieks,Ingrid Gruber", Il mio nome è vendetta, Released, Italian,113000000.0,365992130.6,AU
Wrath of Man,04/29/2021 ,77.0,"Action,Crime,Thriller","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.","Jason Statham,H,Holt McCallany,Bullet,Josh Hartnett,Boy Sweat Dave,Scott Eastwood,Jan,Darrell D'Silva,Mike,Babs Olusanmokun,Moggy,Jeffrey Donovan,Jackson,Eddie Marsan,Terry,Andy García,Agent King",Wrath of Man, Released, English,40000000.0,103913405.0,AU
Jeepers Creepers: Reborn,09/22/2022 ,57.0,"Horror,Thriller,Mystery","Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.","Sydney Craven,Laine,Imran Adams,Chase,Jarreau Benjamin,The Creeper,Matt Barkley,Jamie,Peter Brooke,Stu,Ocean Navarro,Carrie,Gary Graham,Ronald,Gabriel Freilich,Sam,Terry Bird,Officer Edwards",Jeepers Creepers: Reborn, Released, English,5000000.0,5954938.0,AU
Turning Red,03/11/2022 ,75.0,"Animation,Family,Comedy,Fantasy","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.","Rosalie Chiang,Meilin 'Mei' Lee (voice),Sandra Oh,Ming (voice),Ava Morse,Miriam (voice),Hyein Park,Abby (voice),Maitreyi Ramakrishnan,Priya (voice),Orion Lee,Jin Lee (voice),Wai Ching Ho,Grandma (voice),Tristan Allerick Chen,Tyler (voice),Lori Tan Chinn,Auntie Chen (voice)",Turning Red, Released, English,175000000.0,10964971.0,AU
Encanto,11/28/2021 ,76.0,"Animation,Comedy,Family,Fantasy","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.","Stephanie Beatriz,Mirabel Madrigal (voice),María Cecilia Botero,Abuela Alma Madrigal (voice),John Leguizamo,Bruno Madrigal (voice),Mauro Castillo,Félix Madrigal (voice),Jessica Darrow,Luisa Madrigal (voice),Angie Cepeda,Julieta Madrigal  (voice),Carolina Gaitán,Pepa Madrigal (voice),Diane Guerrero,Isabela Madrigal (voice),Wilmer Valderrama,Agustín Madrigal (voice)",Encanto, Released, English,150000000.0,231120602.0,AU
